source,target
00010000000111111110010100111110000000000100010101100000000000000000000000000111010111000111111010111111111101111101110111101001111110111111110111111111110111110111110111111111111111111101110000010,00000000000111111110010100010010000000000100000100000000000000000000000000000111010111000111111010110111111101111101110110101001101110111111100111111111110111100111110111111111111111111001110000010
00010000000111111110010100111110000000000100010101100000000000000000000000000111010111000111111010111111111101111101110111101001111110111111110111111111110111110111110111111111111111111101110000010,00000000000111111110010100010010000000000100000101100000000000000000000000000111010111000111111010110111111101111101110110101001111110111111110111111111110111100111110111111111111111111001000000010
00000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000110010001000000000011010011100011000010110111011000010000000000010,00000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000110010001000000000011010010000011000010110111011000010000000000010
00000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000110010001000000000011010011100011000010110111011000010000000000010,00000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000110010001000000000011010010000011000010110111011000010000000000010
00000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000110010001000000000011010011100011000010110111011000010000000000010,00000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000110010001000000000011010010000011000010110111011000010000000000010
00000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000110010001000000000011110011100011000010110111011000010000000000010,00000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000110010001000000000011010011100011000010110111011000010000000000010
00000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000110010001000000000011110011100011000010110111011000010000000000010,00000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000110010000000000000011110011100011000010110111011000000000000000010
00000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100110010001000000000011110011100011000010110111011000010000000000010,00000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000110010001000000000011110011100011000010110111011000010000000000010
00000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100110010001000000000011110011100011000010110111011000010000000000010,00000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100110010000000000000001010011100011000010110111011000000000000000010
00000000000111111110010100011010000000000100000100000000100000000000000000000111010111000111101110110111111101111101110111111000000110111111010011011010110111100111110111110111111111100001000000010,00000000000111111110010100001010000000000100000100000000100000000000000000000111010111000111101110110111111101111101110111111000000110111111010011011010110111100111110111110111111111100001000000010
00000000000111111110010100011010000000000100000100000000100000000000000000000111010111000111101110110111111101111101110111111000000110111111010011011010110111100111110111110111111111100001000000010,00000000000111111110010100010010000000000100000100000000100000000000000000000111010111000111101110110111111101111101110111111000000110111111010011011010110111100111110111110111111110100001000000010
00000000000111111110010101011010000000010100000100000000100000000000000000000111010111000111101110110111111101111101110111111000000110111111010011011010110111100111110111110111111111100001110000010,00000000000111111110000101010010000000000100000100000000100000000000000000000111010111000111101110110011111101111101110111111000000110111111010011011010110111100111110111110111111111100001110000010
00000000000111111110010101011010000000010100000100000000100000000000000000000111010111000111101110110111111101111101110111111000000110111111010011011010110111100111110111110111111111100001110000010,00000000000111111110010100011010000000000100000100000000100000000000000000000111010111000111101110110111111101111101110111111000000110111111010011011010110111100111110111110111111111100001000000010
00000000000111111110010101011010000000010100000100000000100000000000000000000111010111000111101110110111111101111101110111111000000110111111010011011010110111100111110111110111111111100001110000010,00000000000111111110010100010010000000010100000100000000100000000000000000000111010111000111101110110011111101011101110011111000000110111011010011011010110111100111110111110111111110100001100000010
00010000000111111110010110010010000010001100110101101000100000000000000000000111110111000111111111110011111101111101111111111101111111111111110111111111110111100111110111111111111111100001000000110,00010000000111111110010110010010000010000100110101101000100000000000000000000111110111000111111111110011111101111101111111111101111111111111110111111111110111100111110111111111111111100001000000110
00010000000111111110010110111110000010001100110101101000100000000000000000000111110111000111111111110011111101111101111111111101111111111111110111111111110111100111110111111111111111100001000000110,00010000000111111110010110010010000010001100110101101000100000000000000000000111110111000111111111110011111101111101111111111101111111111111110111111111110111100111110111111111111111100001000000110
00010000000111111110010110111110000010001100110101101000100000000000000000000111110111000111111111110011111101111101111111111101111111111111110111111111110111100111110111111111111111100001000000110,00010000000111111110010110111110000010000100110101101000100000000000000000000111110111000111111111110011111101111101111111111101111111111111110111111111110111100111110111111111111111100001000000110
00001000000111111110010100111110000000001100110101100000000000000000000000000111111111000111111110110011111101111101111110111001111111111111110111111111111111101111110111111111011110100101100000110,00001000000111111110010100111110000000001100110101100000000000000000000000000111111111000111111110100011111101111101111110111001111111111111110111111111111111101111110111111111011110100101100000110
00001000000111111110010100111110000000001100110101100000000000000000000000000111111111000111111110110011111101111101111110111001111111111111110111111111111111101111110111111111011110100101100000110,00001000000111111110010100111110000000001100110101100000000000000000000000000111111111000111111110100011111101111101111110111001111111111111110111111111111111101111110111111111011110100101100000110
00001000000111111110010100111110000000001100110101100000000000000000000000000111111111000111111110110011111101111101111110111001111111111111110111111111111111101111110111111111011110100101100000110,00001000000111111110010100111110000000001100110101100000000000000000000000000111111111000111111110110011111101101101111110111001111111111111110111111111111111101111110111111111011110100101100000110
00001000000111111110010100111110000000001100110101100000000000000000000000000111111011000111111110110011111101111101111110111001111111111111110111111111111111101111110111111111011110100101100000110,00001000000111001110010100111110000000001100110101100000000000000000000000000111101000000111011100100011111001000100111010111001111111111100000010110011111100101110110100010111010110100101100000110
00001000000111111110010100111110000000001100110101100000000000000000000000000111111111000111111110111011111101111101110110111001111111111111110111111111111111101111110111111111011110111001110000110,00001000000111111100010100111110000000001100110101100000000000000000000000000111111111000111111110111011111101111101110110111001111111111111110111111111111111101111110111111111011110111001110000110
00001000000111111110010100111110000000001100110101100000000000000000000000000111111111000111111110111011111101111101111110111001111111111111110111111111111111101111110111111111011110111101110000110,00001000000111111110010100111110000000001100110101100000000000000000000000000111111111000111111110110011111101111101111110101001111111111111110111011111111111101111110111111111011110100101100000110
00001000000111111110010100111110000000001100110101100000000000000000000000000111111111000111111110111011111101111101111110111001111111111111110111111111111111101111110111111111011110111101110000110,00001000000111111110010100111110000000001100110101100000000000000000000000000111111111000111111110110011111101111101111110111001111111111111110111111111111111101111110111111111011110100101100000110
00001000000111111110010100111110000000001100110101100000000000000000000000000111111111000111111110111011111101111101111110111001111111111111110111111111111111101111110111111111011110111101110000110,00001000000111111110010100111110000000001100110101100000000000000000000000000111111011000111111110110011111101111101111110111001111111111111110111111111111111101111110111111111011110100101100000110
00001000000111111110010100111110000000001100110101100000000000000000000000000111111111000111111110111011111101111101111110111001111111111111110111111111111111101111110111111111011110111101110000110,00001000000111111110010100111110000000001100110101100000000000000000000000000111111111000111111110111011111101111101110110111001111111111111110111111111111111101111110111111111011110111001110000110
00000000000111111111010100010010000000001100010100000000000000000000000000000111110111000111111110110011111101111101111111111001111111111111110111111111110111100111110111111111111111101101110000010,00000000000111111110010100010010000000001100010100000000000000000000000000000111110111000111111110110011111101111101111111111001111111111111110111111111110111100111110111111111111110101001110000010
00000000000111111111010100010010000000001100010100000000000000000000000000000111110111000111111110110011111101111101111111111001111111111111110111111111110111100111110111111111111111101001110000010,00000000000111111110010100010010000000001100010100000000000000000000000000000111110111000111111110110011111101111101111111111001111111111111110111111111110111100111110111111111111111101001110000010
00010000000111111111010100111110000000001100010101100000000000000000000000000111110111000111111110111011111101111101111111111001111111111111110111111111110111100111110111111111111111111101110000010,00010000000111111110010100010010000000001100010100000000000000000000000000000111110111000111111110110011111101111101111111111001111111111111110111111111110111100111110111111111111110101001110000010
00010000000111111111010100111110000000001100010101100000000000000000000000000111110111000111111110111011111101111101111111111001111111111111110111111111110111100111110111111111111111111101110000010,00010000000111111110010100010010000000001100010101100000000000000000000000000111110111000111111110111011111101111101110111111001111111111111110111111111110111100111110111111111111111111101110000010
00010000000111111111010100111110000000001100010101100000000000000000000000000111110111000111111110111011111101111101111111111001111111111111110111111111110111100111110111111111111111111101110000010,00010000000111111110010100010010000000001100010100000000000000000000000000000111110111000111111110110011111101111101111111111001111111111111110111111111110111100111110111111111111111101001110000010
00010000000111111111010100111110000000001100010101100000000000000000000000000111110111000111111110111011111101111101111111111001111111111111110111111111110111100111110111111111111111111101110000010,00000000000111111111010100010010000000001100010100000000000000000000000000000111110111000111111110110011111101111101111111111001111111111111110111111111110111100111110111111111111111101101110000010
00010000000111111111010100111110000000001100010101100000000000000000000000000111110111000111111110111011111101111101111111111001111111111111110111111111110111100111110111111111111111111101110000010,00000000000111111110010100111110000000001100010100000000000000000000000000000111110111000111111110111011111101111101110111111001111111111111110111111111110111100111110111111111111111111101110000010
00010000000111111111010100111110000000001100010101100000000000000000000000000111110111000111111110111011111101111101111111111001111111111111110111111111110111100111110111111111111111111101110000010,00010000000111111111010100010010000000001100010100000000000000000000000000000111110111000111111110111011111101111101110111111001111111111111110111111111110111100111110111111111111111111001110000010
00010000000111111111010100111110000000001100010101100000000000000000000000000111110111000111111110111011111101111101111111111001111111111111110111111111110111100111110111111111111111111101110000010,00000000000111111111010100010010000000001100010100000000000000000000000000000111110111000111111110110011111101111101111111111001111111111111110111111111110111100111110111111111111111101001110000010
00010000000111111110010100010010000000001100010100000000000000000000000000000111110111000111111110111011111101111101110111111001111111111111110111111111110111100111110111111111111111111101110000010,00010000000111111110010100010010000000001100010100000000000000000000000000000111110111000111111110111011111101111101110111111001111111111111110111111111110111100111110111111111111111111001110000010
00010000000111111110010100010010000000001100010100000000000000000000000000000111110111000111111110111011111101111101111111111001111111111111110111111111110111100111110111111111111111111101110000010,00000000000111111110010100010010000000001100010100000000000000000000000000000111110111000111111110111011111101111101110111111001111111111111110111111111110111100111110111111111111111111101110000010
00010000000111111110010100010010000000001100010100000000000000000000000000000111110111000111111110111011111101111101111111111001111111111111110111111111110111100111110111111111111111111101110000010,00000000000110111110010100010010000000000000010100000000000000000000000000000111010011000111111010110011111101111101111111111001111111111111110111111111110111100111110111111111011101101101110000010
00010000000111111110010100010010000000001100010100000000000000000000000000000111110111000111111110111011111101111101111111111001111111111111110111111111110111100111110111111111111111111101110000010,00010000000111111110010100010010000000001100010100000000000000000000000000000111110111000111111110111011111101111101110111111001111111111111110111111111110111100111110111111111111111111101110000010
00010000000111111110010100010010000000001100010101100000000000000000000000000111110111000111111110111011111101111101111111111001111111111111110111111111110111100111110111111111111111111101110000110,00010000000111111110010100010010000000001100010101100000000000000000000000000111110111000111111110110011111101111101111111111001111111111111110111111111110111100111110111111111111111101101000000010
00010000000111111110010100010010000000001100010101100000000000000000000000000111110111000111111110111011111101111101111111111001111111111111110111111111110111100111110111111111111111111101110000110,00010000000111111110010100010010000000001100010100000000000000000000000000000111110111000111111110110011111101111101111111111001111111111111110111111111110111100111110111111111111111101001110000110
00010000000111111110010100010010000000001100010101100000000000000000000000000111110111000111111110111011111101111101111111111001111111111111110111111111110111100111110111111111111111111101110000110,00010000000111111110010100010010000000001100010100000000000000000000000000000111110111000111111110111011111101111101110111111001111111111111110111111111110111100111110111111111111111111101110000010
00000000000111111110010100010010000000001100010100000000000000000000000000000111110111000111111110111011111101111101111111111001111111111111110111111111110111100111110111111111111111111001110000010,00000000000111111110010100010010000000001100010100000000000000000000000000000111110111000111111110110011111101111101111111111001111111111111110111111111110111100111110111111111111111101001110000010
00000000000111111110010100010010000000001100010100000000000000000000000000000111110111000111111110111011111101111101111111111001111111111111110111111111110111100111110111111111111111111001110000010,00000000000111111110010100010010000000001100010100000000000000000000000000000111110111000111111110111011111101111101110111111001111111111111110111111111110111100111110111111111111111111001110000010
00010000000111111111010100010010000000001100010101100000000000000000000000000111110111000111111110111011111101111101111111111001111111111111110111111111110111100111110111111111111111111101110000110,00010000000111111110010100010010000000001100010100000000000000000000000000000111110111000111111110110011111101111101111111111001111111111111110111111111110111100111110111111111111111101101110000110
00010000000111111111010100010010000000001100010101100000000000000000000000000111110111000111111110111011111101111101111111111001111111111111110111111111110111100111110111111111111111111101110000110,00010000000111111111010100010010000000001100010101100000000000000000000000000111110111000111111110111011111101111101110111111001111111111111110111111111110111100111110111111111111111111001110000010
00010000000111111110010100010010000000001100010100000000000000000000000000000111110111000111111110111011111101111101111111111001111111111111110111111111110111100111110111111111111111111101110000010,00010000000111111110010100010010000000001100010100000000000000000000000000000111110111000111101010100011111101111101111111111001111111111111110111101101110111000111110111111111111111111001110000000
00010000000111111110010100010010000000001100010100000000000000000000000000000111110111000111111110111011111101111101111111111001111111111111110111111111110111100111110111111111111111111101110000010,00010000000111111110010100010010000000001100010100000000000000000000000000000111110111000111101010101011111101111101110111111001111111111111110111111111110111100111110111111111111111111001110000000
00010000000111111110010100010010000000001100010100000000000000000000000000000111110111000111111110111011111101111101111111111001111111111111110111111111110111100111110111111111111111111101110000010,00010000000111111110010100010010000000001100010100000000000000000000000000000111110111000111111110110011111101111101111111111001111111111111110111111111110111100111110111111111111111101101110000010
00010000000111111110010100010010000000001100010100000000000000000000000000000111110111000111111110111011111101111101111111111001111111111111110111111111110111100111110111111111111111111101110000010,00010000000111111110010100010010000000001100010100000000000000000000000000000111110111000111111110110011111101111101111111111001111111111111110111111111110111100111110111111111111111101101110000010
00010000000111111111010100010010000000001100010101100000000000000000000000000111111111000111111110111011111101111101111111111001111111111111110111111111110111100111110111111111111111111101110000110,00010000000111111110010100010010000000001100010101100000000000000000000000000111111111000111111110111011111101111101110111111001111111111111110111111111110111100111110111111111111111111101110000010
00010000000111111111010100010010000000001100010101100000000000000000000000000111111111000111111110111011111101111101111111111001111111111111110111111111110111100111110111111111111111111101110000110,00010000000111111110010100010010000000001100010101100000000000000000000000000111110111000111111110111011111101111101111111111001111111111111110111111111110111100111110111111111111111111101110000110
00010000000111111111010100010010000000001100010101100000000000000000000000000111111111000111111110111011111101111101111111111001111111111111110111111111110111100111110111111111111111111101110000110,00000000000111111110010100010010000000001100010100000000000000000000000000000111110111000111111110111011111101111101111111111001111111111111110111111111110111100111110111111111111111111001110000010
00010000000111111111010100010010000000001100010101100000000000000000000000000111111111000111111110111011111101111101111111111001111111111111110111111111110111100111110111111111111111111101110000110,00010000000111111111010100010010000000001100010101100000000000000000000000000111110111000111111110111011111101111101111111111001111111111111110111111111110111100111110111111111111111111101110000110
00010000000111111111010100010010000000001100010101100000000000000000000000000111111111000111111110111011111101111101111111111001111111111111110111111111110111100111110111111111111111111101110000110,00010000000111111110010100010010000000001100010100000000000000000000000000000111110111000111111110111011111101111101111111111001111111111111110111111111110111100111110111111111111111111101110000010
00000000000111111111010100010010000000001100010100000000000000000000000000000111110111000111111110111011111101111101111111111001111111111111110111111111110111100111110111111111111111111101110000010,00000000000111111111010100010010000000001100010100000000000000000000000000000111100000000111101000100001111001000000011001111001111111111011100111110101110111100111110111011111111111111001110000010
00000000000111111111010100010010000000001100010100000000000000000000000000000111110111000111111110111011111101111101111111111001111111111111110111111111110111100111110111111111111111111101110000010,00000000000111111111010100010010000000001100010100000000000000000000000000000111100000000111101000100011111001000000011001111001111111111110110111110101110111100111110111011111110111111001110000010
00000000000111111111010100010010000000001100010100000000000000000000000000000111110111000111111110111011111101111101111111111001111111111111110111111111110111100111110111111111111111111101110000010,00000000000111111110000000000010000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000001111111111111010111111111110111100111110110111111011110111001000000010
00000000000111111111010100010010000000001100010100000000000000000000000000000111110111000111111110111011111101111101111111111001111111111111110111111111110111100111110111111111111111111101110000010,00000000000111111110010100010010000000001100010100000000000000000000000000000111110111000111111110111011111101111101110111111001111111111111110111111111110111100111110111111111111111111101110000010
00000000000111111111010100010010000000001100010100000000000000000000000000000111110111000111111110111011111101111101110111111001111111111111110111111111110111100111110111111111111111111101110000110,00000000000111111111010100010010000000001100010100000000000000000000000000000111110111000111111110111011111101111101110111111001111111111111110111111111110111100111110111111111111111111101110000010
00000000000111111111010100010010000000001100010100000000000000000000000000000111110111000111111110111011111101111101110111111001111111111111110111111111110111100111110111111111111111111101110000110,00000000000111111110010100010010000000001100010100000000000000000000000000000111110111000111111110111011111101011101110111111001111111111111110111111111110111100111110111111111111111111101000000110
00000000000111111111010100010010000000001100010100000000000000000000000000000111110111000111111110111011111101111101110111111001111111111111110111111111110111100111110111111111111111111101110000110,00000000000111111110010100010010000000001100010100000000000000000000000000000111110111000111111110111011111101111101110111111001111111111111110111111111110111100111110111111111111111111101110000010
00010000000111111111010100010010000000001100010101100000000000000000000000000111110111000111111110111011111101111101111111111001111111111111110111111111110111100111110111111111111111111101110000110,00010000000111111110010100010010000000001100010101100000000000000000000000000111110111000111111110111011111101111101110111111001111111111111110111111111110111100111110111111111111111111101110000110
00010000000111111111010100010010000000001100010101100000000000000000000000000111110111000111111110111011111101111101111111111001111111111111110111111111110111100111110111111111111111111101110000110,00000000000111111110010100010010000000001100010100000000000000000000000000000111110111000111111110111011111101111101110111111001111111111111110111111111110111100111110111111111111111111101110000110
00010000000111111111010100010010000000001100010101100000000000000000000000000111110111000111111110111011111101111101111111111001111111111111110111111111110111100111110111111111111111111101110000110,00010000000111111110010100010010000000001100010100000000000000000000000000000111110111000111111110110011111101111101111111111001111111111111110111111111110111100111110111111111111111101101110000010
00010000000111111111010100010010000000001100010101100000000000000000000000000111110111000111111110111011111101111101111111111001111111111111110111111111110111100111110111111111111111111101110000110,00000000000111111111010100010010000000001100010100000000000000000000000000000111110111000111111110111011111101111101111111111001111111111111110111111111110111100111110111111111111111111101110000010
00010000000111111111010100010010000000001100010101100000000000000000000000000111110111000111111110111011111101111101111111111001111111111111110111111111110111100111110111111111111111111101110000110,00000000000111111111010100010010000000001100010100000000000000000000000000000111110111000111111110111011111101111101110111111001111111111111110111111111110111100111110111111111111111111101110000110
00010000000111111111010100111110000000001100010101100000000000000000000000000111111111000111111110111011111101111101111111111001111111111111110111111111110111100111110111111111111111111101110000110,00010000000111111111010100111110000000001100010101100000000000000000000000000111110111000111111110111011111101111101111111111001111111111111110111111111110111100111110111111111111111111101110000010
00010000000111111111010100111110000000001100010101100000000000000000000000000111111111000111111110111011111101111101111111111001111111111111110111111111110111100111110111111111111111111101110000110,00010000000111111110010100010010000000001100010100000000000000000000000000000111110111000111111110111011111101111101111111111001111111111111110111111111110111100111110111111111111111111101110000010
00010000000111111111010100111110000000001100010101100000000000000000000000000111111111000111111110111011111101111101111111111001111111111111110111111111110111100111110111111111111111111101110000110,00010000000111111111010100010010000000001100010101100000000000000000000000000111111111000111111110111011111101111101111111111001111111111111110111111111110111100111110111111111111111111101110000110
00010000000111111111010100111110000000001100010101100000000000000000000000000111111111000111111110111011111101111101111111111001111111111111110111111111110111100111110111111111111111111101110000110,00010000000111111111010100010010000000001100010101100000000000000000000000000111110111000111111110111011111101111101111111111001111111111111110111111111110111100111110111111111111111111101110000110
00011111110111111111111110010010111110001101111111101100011000000000000111100111111111011111111111110111111101111101111111111101111111111111111111111111111111111111110111111111111111111111111111110,00011111110111111111110110010010111110001000110101101100011000000000000111100101111111011111111111110111111101111101111111111101111111111111111111111111111111111111110111111111111111111111111111110
00011111110111111111111110010010111110001101111111101100011000000000000111100111111111011111111111110111111101111101111111111101111111111111111111111111111111111111110111111111111111111111111111110,00011110110111111110111110010010111110001101111111101100001000000000000111000111101001011111111101100011111101111101011111111101111111111111101111110111111111101111110111111111110110101101110110110
00011111110111111111111110010010111110001101111111101100011000000000000111100111111111111111111111110111111101111101111111111101111111111111111111111111111111111111110111111111111111111111111111111,00011111110111111111111110010010111110001101111101101100001000000000000111000111111111111111111111110011111101111101111111111101111111111111111111111111111111111111110111111111111111100111110111111
00011111110111111111111110010010111110001101111111101100011000000000000111100111111111111111111111110111111101111101111111111101111111111111111111111111111111111111110111111111111111111111111111111,00011111110111111111110110010010111110001101111101101100001000000000000111000111111101011111111101110011111101111101111011111101111111111111111111111111111111111111110111111111111110110111110111110
00011111110111111111111110010010111110001101111111101100011000000000000111100111111111111111111111110111111101111101111111111101111111111111111111111111111111111111110111111111111111111111111111111,00011111110111111111111110010010111110001101111111101100011000000000000111100111111111011111111111110111111101111101111111111101111111111111111111111111111111111111110111111111111111111111111111110
00011111110111111110111110010010111110001101111101101100011000000000000111000111111111001111111111110011111101111101111111111101111111111111111111111111111111111111110111111111111111100111111111110,00011111110111111110111110010010111110001101111101101100011000000000000111000111111111001111111111110011111101111101111111111101111111111111111111111111111111111111110111111111111111100111110111110
11111111111111111111110110111110111110001101111101101100011000000000000111100111111101011111111111110111111101111101111111111101111111111111111111111111111111101111110111111111111111111111110111110,11110111111111111111110110111110111110001101111101101100011000000000000011100111111101011111111111110011111101111101111111111101111111111111111111111111111111101111110111111111111110111111100111110
11111111111111111111110110111110111110001101111101101100011000000000000111100111111101011111111111110111111101111101111111111101111111111111111111111111111111101111110111111111111111111111110111110,11111111111111111111110110111110111110001101111101101100011000000000000111000111111001011111111111110111111101111101111111111101111111111111111111111111111111101111110111111111111111100111110111110
11111111111111111111110110111110111110001101111101101100011000000000000111100111111101011111111111110111111101111101111111111101111111111111111111111111111111101111110111111111111111111111110111110,10110111111111111111110110111110111110001101111101101100011000000000000011100111111101011111111111110011111101111101111111111101111111111111111111111111111111101111110111111111111110111111100111110
11111111111111111111110110111110111110001101111101101100011000000000000111100111111101011111111111110111111101111101111111111101111111111111111111111111111111101111110111111111111111111111110111110,11110111111111111110110110111110111110001101111101101100000000000000000011000111111001010111111111110011111101111101111101111101111111111111111011111111111111101111110111111111111110100111100111110
11111111111111111111111110111110111110101101111101101100011000000000000111100111111111011111111111110111111101111101111111111101111111111111111111111111111111111111110111111111111111111111111111110,00011111110111111110111110010010111110001101111101101100011000000000000111000111111111001111111111110011111101111101111111111101111111111111111111111111111111111111110111111111111111100111111111110
11111111111111111111111110111110111110101101111101101100011000000000000111100111111111011111111111110111111101111101111111111101111111111111111111111111111111111111110111111111111111111111111111110,11111111111111111111110110111110111110001101111101101100011000000000000111100111111101011111111111110111111101111101111111111101111111111111111111111111111111101111110111111111111111111111110111110
11111111111111111111111110111110111110101101111101101100011000000000000111100111111111011111111111110111111101111101111111111101111111111111111111111111111111111111110111111111111111111111111111110,11111111111111111110110110111110111000101100111101101100011000000000000111000111111111001111111111110111111101111101111111111001111111111111011111110111111111110111110111111111111111111001111110110
11111111101111111111111111111110111110001111111111101100011000000000000111100111111111111111111111110111111101111101111111111101111111111111111111111111111111111111110111111111111111111111111111111,11111111101111111111100111111110111110001111111111101100011000000000000111000111111111111111111111110111111101111101111111111101111111111111111111111111111111111111110111111111111111111101111111111
11111111101111111111111111111110111110001111111111101100011000000000000111100111111111111111111111110111111101111101111111111101111111111111111111111111111111111111110111111111111111111111111111111,11111111101111111111111110111110111110001101111101101100011000000000000111100111101000011111110011100011111101011001011011111101111111111111111111110111111111101111110111111111111111100110111111111
11111111111111111111110110111110111110011111111101101110011000000000000111100111111111111111111111110111111101111101111111101111111111111111111111111111111111111111110111111111111111111111111111111,11111111111111111111110110111110111110011111111101101110011000000000000111100111111111011111111111110111111101111101111111101111111111111111111111111111111111111111110111111111111111111111111111111
11111111111111111111111110111110111110011101111111101100011000000000000111000111111111011111111111111111111101111101110111111101111111111111111111111111111111111111110111111111111111111101111111111,11111111111111111111111110111110111110011101111111101100011000000000000111000111110111011111111111111111111101111101110111111101111111111111111111111111111111111111110111111111111111111101111111111
